codepoint,char,unicode_name,romanization
U+A032,ꀲ,Yi Syllable Byt,byt
U+A033,ꀳ,Yi Syllable Byx,byx
U+A034,ꀴ,Yi Syllable By,by
U+A035,ꀵ,Yi Syllable Byp,byp
U+A036,ꀶ,Yi Syllable Byrx,byrx
U+A037,ꀷ,Yi Syllable Byr,byr
U+A038,ꀸ,Yi Syllable Pit,pit
U+A039,ꀹ,Yi Syllable Pix,pix
U+A03A,ꀺ,Yi Syllable Pi,pi
U+A03B,ꀻ,Yi Syllable Pip,pip
U+A03C,ꀼ,Yi Syllable Piex,piex
U+A03D,ꀽ,Yi Syllable Pie,pie
U+A03E,ꀾ,Yi Syllable Piep,piep
U+A03F,ꀿ,Yi Syllable Pat,pat
U+A040,ꁀ,Yi Syllable Pax,pax
U+A041,ꁁ,Yi Syllable Pa,pa
U+A042,ꁂ,Yi Syllable Pap,pap
U+A043,ꁃ,Yi Syllable Puox,puox
U+A044,ꁄ,Yi Syllable Puo,puo
U+A045,ꁅ,Yi Syllable Puop,puop
U+A046,ꁆ,Yi Syllable Pot,pot
U+A047,ꁇ,Yi Syllable Pox,pox
U+A048,ꁈ,Yi Syllable Po,po
U+A049,ꁉ,Yi Syllable Pop,pop
U+A04A,ꁊ,Yi Syllable Put,put
U+A04B,ꁋ,Yi Syllable Pux,pux
U+A04C,ꁌ,Yi Syllable Pu,pu
U+A04D,ꁍ,Yi Syllable Pup,pup
U+A04E,ꁎ,Yi Syllable Purx,purx
U+A04F,ꁏ,Yi Syllable Pur,pur
U+A050,ꁐ,Yi Syllable Pyt,pyt
U+A051,ꁑ,Yi Syllable Pyx,pyx
U+A052,ꁒ,Yi Syllable Py,py
U+A053,ꁓ,Yi Syllable Pyp,pyp
U+A054,ꁔ,Yi Syllable Pyrx,pyrx
U+A055,ꁕ,Yi Syllable Pyr,pyr
U+A056,ꁖ,Yi Syllable Bbit,bbit
U+A057,ꁗ,Yi Syllable Bbix,bbix
U+A058,ꁘ,Yi Syllable Bbi,bbi
U+A059,ꁙ,Yi Syllable Bbip,bbip
U+A05A,ꁚ,Yi Syllable Bbiet,bbiet
U+A05B,ꁛ,Yi Syllable Bbiex,bbiex
U+A05C,ꁜ,Yi Syllable Bbie,bbie
U+A05D,ꁝ,Yi Syllable Bbiep,bbiep
U+A05E,ꁞ,Yi Syllable Bbat,bbat
U+A05F,ꁟ,Yi Syllable Bbax,bbax
U+A060,ꁠ,Yi Syllable Bba,bba
U+A061,ꁡ,Yi Syllable Bbap,bbap
U+A062,ꁢ,Yi Syllable Bbuox,bbuox
U+A063,ꁣ,Yi Syllable Bbuo,bbuo
U+A064,ꁤ,Yi Syllable Bbuop,bbuop
U+A065,ꁥ,Yi Syllable Bbot,bbot
U+A066,ꁦ,Yi Syllable Bbox,bbox
U+A067,ꁧ,Yi Syllable Bbo,bbo
U+A068,ꁨ,Yi Syllable Bbop,bbop
U+A069,ꁩ,Yi Syllable Bbex,bbex
U+A06A,ꁪ,Yi Syllable Bbe,bbe
U+A06B,ꁫ,Yi Syllable Bbep,bbep
U+A06C,ꁬ,Yi Syllable Bbut,bbut
U+A06D,ꁭ,Yi Syllable Bbux,bbux
U+A06E,ꁮ,Yi Syllable Bbu,bbu
U+A06F,ꁯ,Yi Syllable Bbup,bbup
U+A070,ꁰ,Yi Syllable Bburx,bburx
U+A071,ꁱ,Yi Syllable Bbur,bbur
U+A072,ꁲ,Yi Syllable Bbyt,bbyt
U+A073,ꁳ,Yi Syllable Bbyx,bbyx
U+A074,ꁴ,Yi Syllable Bby,bby
U+A075,ꁵ,Yi Syllable Bbyp,bbyp
U+A076,ꁶ,Yi Syllable Nbit,nbit
U+A077,ꁷ,Yi Syllable Nbix,nbix
U+A078,ꁸ,Yi Syllable Nbi,nbi
U+A079,ꁹ,Yi Syllable Nbip,nbip
U+A07A,ꁺ,Yi Syllable Nbiex,nbiex
U+A07B,ꁻ,Yi Syllable Nbie,nbie
U+A07C,ꁼ,Yi Syllable Nbiep,nbiep
U+A07D,ꁽ,Yi Syllable Nbat,nbat
U+A07E,ꁾ,Yi Syllable Nbax,nbax
U+A07F,ꁿ,Yi Syllable Nba,nba
U+A080,ꂀ,Yi Syllable Nbap,nbap
U+A081,ꂁ,Yi Syllable Nbot,nbot
U+A082,ꂂ,Yi Syllable Nbox,nbox
U+A083,ꂃ,Yi Syllable Nbo,nbo
U+A084,ꂄ,Yi Syllable Nbop,nbop
U+A085,ꂅ,Yi Syllable Nbut,nbut
U+A086,ꂆ,Yi Syllable Nbux,nbux
U+A087,ꂇ,Yi Syllable Nbu,nbu
U+A088,ꂈ,Yi Syllable Nbup,nbup
U+A089,ꂉ,Yi Syllable Nburx,nburx
U+A08A,ꂊ,Yi Syllable Nbur,nbur
U+A08B,ꂋ,Yi Syllable Nbyt,nbyt
U+A08C,ꂌ,Yi Syllable Nbyx,nbyx
U+A08D,ꂍ,Yi Syllable Nby,nby
U+A08E,ꂎ,Yi Syllable Nbyp,nbyp
